ID,TEXTO
1054465689170403328,"RT @Virico_: El #MeToo llega a Fisioterapia: "Me han pedido 'final feliz' varias veces" #metooFISIO https://t.co/yVb7KkXesa"
1054464821683503104,".@pandemona y @mkruz de @Twitter hablan de la plataforma como producto que marca el ritmo de los sucesos sociales d… https://t.co/6PDMKaxXOg"
1054464001126662144,"RT @merthGar: 😢
Estoy llorando, no puedo con esto. 
#MeToo 
¿A los hombres también les pasa eso? https://t.co/HWOlZkruWq"
1054463745907404805,"Y yo también se lo digo a la mía!!!gracias mamá por hacerme guapa, lista, pero sobretodo #feminista https://t.co/vG0KVtYRAG"
1054463445217804289,"RT @fisioterricola: Más vale tarde...Historias fisioterápicas: #metoo https://t.co/UhIagbK0w6"
1054463185519108097,"RT @ajplusespanol: Las mujeres en #India alzan la voz y exigen el fin de una cultura de acoso y agresión sexual. 

Personajes de alto perfi…"
1054461077503832065,"@argfeb76 @MasDeUno @LaCultureta @sergiodelmolino Un rotundo #metoo"
1054460958054195211,""Varios llamaron al #MeToo una “cacería de brujas” en un intento por neutralizar al movimiento. Fue una instancia e… https://t.co/P6tQoH3QEq"
1054460703225065474,"@zubietahouse @lopezdoriga #abortolegalseguroygratuito 

Todas #NiUnaMas #MeToo"
1054460337402101764,"RT @Escarolota: Belleza eres tú. #inktoberfeminista DÍA 22 - #belleza .
.
You are beauty. #feministinktober DAY 22 - #beauty .
#escarolota…"
1054458845894971393,"RT @Escarolota: Belleza eres tú. #inktoberfeminista DÍA 22 - #belleza .
.
You are beauty. #feministinktober DAY 22 - #beauty .
#escarolota…"
1054458818409783297,"#MejorVivasQueCatrinas: Del #MeToo al #DiadeMuertas en #México via @El_Plural @LeequidMagazine https://t.co/JpQQ7Y4PRE"
1054458811933749248,"RT @fisioterricola: Más vale tarde...Historias fisioterápicas: #metoo https://t.co/UhIagbK0w6"
1054458646464212992,"RT @ajplusespanol: Las mujeres en #India alzan la voz y exigen el fin de una cultura de acoso y agresión sexual. 

Personajes de alto perfi…"
1054457346393628673,"RT @FundSantillana: La presidenta de la Asociación de Mujeres Escritoras e Ilustradoras #CarmenPeire presentará el debate #Metoo americanas…"
1054457265594478592,"RT @titevera: Chicas, aquí con @naoakitaa queremos armar un hilo colaborativo de filtros para espantar machirulos desde la primera cita. Fa…"
1054456406043168769,"Esos jueces.. 

Francisco Javier Martínez Derqui ante el Consejo General de Poder Judicial humilla a sus defendidas… https://t.co/YUpxUvQple"
1054455706672336896,"RT @FundSantillana: Mañana 23 oct a 19h continua II #FestivaldeFilosofía: #Metoo americanas contra libertinas francesas en #CentroCulturalL…"
1054455164340527105,"La #inteligenciaartificial también puede ser #machista, y este programa lo demuestra https://t.co/saJzSokgdF vía… https://t.co/ZEBzAULIdv"
1054452767023095809,"Por desgracia una realidad #MeToo #metoofisio para concienciar hay que visibilizar https://t.co/quuXBzuIQS"
